カラム種類,カラム名,データ源
除外カラム,所在地,元データ
除外カラム,アクセス,元データ
除外カラム,番地,元データ
除外カラム,tokens,元データ
除外カラム,丁目,元データ
除外カラム,町,元データ
カテゴリカラム,方角,元データ
カテゴリカラム,建物構造,元データ
カテゴリカラム,区,元データ
カテゴリカラム,railway,元データ
カテゴリカラム,公示価格_bin,公示地価
その他カラム,age,元データ
その他カラム,age_round,元データ
その他カラム,定期借家フラグ,元データ
その他カラム,部屋数,元データ
その他カラム,K有無,元データ
その他カラム,D有無,元データ
その他カラム,L有無,元データ
その他カラム,S有無,元データ
その他カラム,area,元データ
その他カラム,area_round,元データ
その他カラム,シャワー,元データ
その他カラム,トイレなし,元データ
その他カラム,バスなし,元データ
その他カラム,バス・トイレ別,元データ
その他カラム,共同トイレ,元データ
その他カラム,共同バス,元データ
その他カラム,専用トイレ,元データ
その他カラム,専用バス,元データ
その他カラム,洗面台独立,元データ
その他カラム,浴室乾燥機,元データ
その他カラム,温水洗浄便座,元データ
その他カラム,脱衣所,元データ
その他カラム,追焚機能,元データ
その他カラム,park_bike,元データ
その他カラム,park_motor,元データ
その他カラム,park_car,元データ
その他カラム,keiyaku_length,元データ
その他カラム,floor,元データ
その他カラム,all_floor,元データ
その他カラム,【クリーニング】,元データ
その他カラム,【コインパーキング】,元データ
その他カラム,【コンビニ】,元データ
その他カラム,【スーパー】,元データ
その他カラム,【デパート】,元データ
その他カラム,【ドラッグストア】,元データ
その他カラム,【レンタルビデオ】,元データ
その他カラム,【公園】,元データ
その他カラム,【図書館】,元データ
その他カラム,【大学】,元データ
その他カラム,【学校】,元データ
その他カラム,【小学校】,元データ
その他カラム,【幼稚園・保育園】,元データ
その他カラム,【月極駐車場】,元データ
その他カラム,【病院】,元データ
その他カラム,【総合病院】,元データ
その他カラム,【郵便局】,元データ
その他カラム,【銀行】,元データ
その他カラム,【飲食店】,元データ
その他カラム,24時間換気システム,元データ
その他カラム,2面採光,元データ
その他カラム,3面採光,元データ
その他カラム,ウォークインクローゼット,元データ
その他カラム,エアコン付,元データ
その他カラム,エレベーター,元データ
その他カラム,オール電化,元データ
その他カラム,ガスその他,元データ
その他カラム,ガス暖房,元データ
その他カラム,クッションフロア,元データ
